movie_id,cast,crew
299537,"[{'id': 60073, 'name': 'Бри Ларсон', 'character': 'Carol Danvers / Vers / Captain Marvel'}, {'id': 2231, 'name': 'Сэмюэл Л. Джексон', 'character': 'Nick Fury'}, {'id': 77335, 'name': 'Бен Мендельсон', 'character': 'Talos / Keller'}, {'id': 9642, 'name': 'Джуд Лоу', 'character': 'Yon-Rogg'}, {'id': 516, 'name': 'Аннетт Бенинг', 'character': 'Supreme Intelligence / Dr. Wendy Lawson'}, {'id': 938, 'name': 'Джимон Хонсу', 'character': 'Korath'}, {'id': 72095, 'name': 'Ли Пейс', 'character': 'Ronan'}, {'id': 1360281, 'name': 'Лашана Линч', 'character': 'Maria Rambeau'}, {'id': 97576, 'name': 'Джемма Чан', 'character': 'Minn-Erva'}, {'id': 9048, 'name': 'Кларк Грегг', 'character': 'Agent Coulson'}]","[{'id': 53068, 'name': 'Ryan Fleck', 'job': 'Director'}, {'id': 53069, 'name': 'Anna Boden', 'job': 'Director'}]"
1276073,"[{'id': 80753, 'name': '草彅剛', 'character': 'Kazuya Takaichi'}, {'id': 20705, 'name': '尾野真千子', 'character': 'Yuko Kagami'}, {'id': 151027, 'name': '要潤', 'character': 'Mitsuru Todoroki'}, {'id': 1405924, 'name': 'のん', 'character': 'Chika Matsumoto'}, {'id': 2236358, 'name': '細田佳央太', 'character': 'Keiji Fujii'}, {'id': 1404981, 'name': '黒田大輔', 'character': 'Kodai Hayashi'}, {'id': 1502395, 'name': '松尾諭', 'character': 'Masayoshi Goto'}, {'id': 19855, 'name': '大後寿々花', 'character': 'Ichikawa'}, {'id': 1672811, 'name': '豊嶋花', 'character': 'Yuzuki Onodera'}, {'id': 115700, 'name': '斎藤工', 'character': 'Yuichi Kasagi'}]","[{'id': 80752, 'name': '樋口真嗣', 'job': 'Director'}]"
497698,"[{'id': 1245, 'name': 'Скарлетт Йоханссон', 'character': 'Natasha Romanoff / Black Widow'}, {'id': 1373737, 'name': 'Флоренс Пью', 'character': 'Yelena Belova'}, {'id': 3293, 'name': 'Рэйчел Вайс', 'character': 'Melina'}, {'id': 35029, 'name': 'Дэвид Харбор', 'character': 'Alexei'}, {'id': 5538, 'name': 'Рэй Уинстон', 'character': 'Dreykov'}, {'id': 1743933, 'name': 'Евер Андерсон', 'character': 'Young Natasha'}, {'id': 2131391, 'name': 'Вайолет МакГроу', 'character': 'Young Yelena'}, {'id': 113970, 'name': 'О. Т. Фагбенли', 'character': 'Mason'}, {'id': 227, 'name': 'Уильям Хёрт', 'character': 'Secretary Ross'}, {'id': 18182, 'name': 'Ольга Куриленко', 'character': 'Antonia / Taskmaster'}]","[{'id': 93286, 'name': 'Cate Shortland', 'job': 'Director'}]"
1092899,"[{'id': 1481440, 'name': 'Daniel Stisen', 'character': 'Walker'}, {'id': 1824250, 'name': 'Lauren Okadigbo', 'character': 'Elda'}, {'id': 1574323, 'name': 'Yennis Cheung', 'character': 'Juliet'}, {'id': 971590, 'name': 'Byron Gibson', 'character': 'Big Deal'}, {'id': 2778275, 'name': 'Steven Blades', 'character': 'Reynard'}, {'id': 2031508, 'name': 'Samantha Schnitzler', 'character': 'Keates'}, {'id': 1735656, 'name': 'Michael Billington', 'character': 'Bates'}, {'id': 1970037, 'name': 'Michael Geary', 'character': 'Smithee'}, {'id': 2473934, 'name': 'Phillip Ray Tommy', 'character': 'Fisher'}, {'id': 2546584, 'name': 'Ali Gadema', 'character': 'Lovette'}]","[{'id': 255350, 'name': 'Brad Watson', 'job': 'Director'}]"
374720,"[{'id': 1687041, 'name': 'Fionn Whitehead', 'character': 'Tommy'}, {'id': 2524, 'name': 'Том Харди', 'character': 'Farrier'}, {'id': 40900, 'name': 'Марк Райлэнс', 'character': 'Mr. Dawson'}, {'id': 11181, 'name': 'Кеннет Брана', 'character': 'Commander Bolton'}, {'id': 2037, 'name': 'Киллиан Мёрфи', 'character': 'Shivering Soldier'}, {'id': 1290466, 'name': 'Барри Кеоган', 'character': 'George'}, {'id': 1052109, 'name': 'Harry Styles', 'character': 'Alex'}, {'id': 145143, 'name': 'Aneurin Barnard', 'character': 'Gibson'}, {'id': 579211, 'name': 'Дамьен Боннар', 'character': 'French Soldier'}, {'id': 1324608, 'name': 'Lee Armstrong', 'character': 'Grenadier'}]","[{'id': 525, 'name': 'Кристофер Нолан', 'job': 'Director'}]"
769,"[{'id': 380, 'name': 'Роберт Де Ниро', 'character': 'James Conway'}, {'id': 11477, 'name': 'Ray Liotta', 'character': 'Henry Hill'}, {'id': 4517, 'name': 'Джо Пеши', 'character': 'Tommy DeVito'}, {'id': 11478, 'name': 'Лоррейн Бракко', 'character': 'Karen Hill'}, {'id': 7004, 'name': 'Paul Sorvino', 'character': 'Paul Cicero'}, {'id': 11480, 'name': 'Фрэнк Сиверо', 'character': 'Frankie Carbone'}, {'id': 11482, 'name': 'Tony Darrow', 'character': 'Sonny Bunz'}, {'id': 5170, 'name': 'Mike Starr', 'character': 'Frenchy'}, {'id': 7164, 'name': 'Фрэнк Винсент', 'character': 'Billy Batts'}, {'id': 11479, 'name': 'Chuck Low', 'character': 'Morris Kessler'}]","[{'id': 1032, 'name': 'Мартин Скорсезе', 'job': 'Director'}]"
1195506,"[{'id': 1030513, 'name': 'Джек Куэйд', 'character': 'Nate'}, {'id': 1654001, 'name': 'Эмбер Мидтандер', 'character': 'Sherry'}, {'id': 60960, 'name': 'Рэймонд Николсон', 'character': 'Simon'}, {'id': 1649152, 'name': 'Джейкоб Баталон', 'character': 'Roscoe'}, {'id': 1660452, 'name': 'Бетти Гэбриел', 'character': 'Mincy'}, {'id': 59841, 'name': 'Мэтт Уолш', 'character': 'Coltraine'}, {'id': 228372, 'name': 'Conrad Kemp', 'character': 'Andre'}, {'id': 2387576, 'name': 'Эван Хенгст', 'character': 'Ben'}, {'id': 1587571, 'name': 'Craig Jackson', 'character': 'Nigel'}, {'id': 168924, 'name': 'Lou Beatty Jr.', 'character': 'Earl'}]","[{'id': 1361389, 'name': 'Дэн Берк', 'job': 'Director'}, {'id': 1283526, 'name': 'Роберт Олсен', 'job': 'Director'}]"
1241982,"[{'id': 1564846, 'name': 'Аулии Кравалхо', 'character': 'Moana (voice)'}, {'id': 18918, 'name': 'Дуэйн Джонсон', 'character': 'Maui (voice)'}, {'id': 4775908, 'name': 'Hualālai Chung', 'character': 'Moni (voice)'}, {'id': 1868823, 'name': 'Rose Matafeo', 'character': 'Loto (voice)'}, {'id': 55937, 'name': 'Дэвид Фэйн', 'character': 'Kele (voice)'}, {'id': 3819173, 'name': 'Awhimai Fraser', 'character': 'Matangi (voice)'}, {'id': 4775906, 'name': 'Khaleesi Lambert-Tsuda', 'character': 'Simea (voice)'}, {'id': 7242, 'name': 'Темуэра Моррисон', 'character': 'Chief Tui (voice)'}, {'id': 151246, 'name': 'Nicole Scherzinger', 'character': 'Sina (voice)'}, {'id': 15298, 'name': 'Рэйчел Хаус', 'character': 'Gramma Tala (voice)'}]","[{'id': 4524084, 'name': 'Дэвид Деррик-мл.', 'job': 'Director'}, {'id': 1461394, 'name': 'Джейсон Хэнд', 'job': 'Director'}, {'id': 1513971, 'name': 'Дана Леду Миллер', 'job': 'Director'}]"
1403735,"[{'id': 1893251, 'name': 'Vishwak Sen', 'character': 'Sonu Model / Laila'}, {'id': 3154351, 'name': 'Akansha Sharma', 'character': 'Jenny'}, {'id': 584878, 'name': 'Babloo Prithiveeraj', 'character': 'Shankar ""Shanku""'}, {'id': 109743, 'name': 'Abhimanyu Singh', 'character': 'Rusthom'}, {'id': 312870, 'name': 'Vineet Kumar', 'character': 'Khaidi'}, {'id': 3237637, 'name': 'Kamakshi Bhaskarla', 'character': 'Sundari'}, {'id': 3747367, 'name': 'Surabhi Prabhavathi', 'character': 'Subhaleka'}, {'id': 223146, 'name': 'Ravi Mariya', 'character': 'Waseem'}, {'id': 1429160, 'name': 'Prudhviraj', 'character': ''}, {'id': 4477653, 'name': 'Sunisith', 'character': 'Sunisith'}]","[{'id': 5240969, 'name': 'Ram Narayan', 'job': 'Director'}]"
1136721,"[{'id': 4099210, 'name': 'Warren McCook', 'character': 'Gordy'}, {'id': 1426955, 'name': 'Emily Lamey', 'character': 'Clare'}, {'id': 4346997, 'name': 'Rían Early', 'character': 'Jimmy'}, {'id': 4099211, 'name': 'Sophie Hill', 'character': 'Eleanor'}, {'id': 3112699, 'name': 'Colette Lennon Dougal', 'character': 'Mallon'}, {'id': 1568508, 'name': 'Charlie Bonner', 'character': 'Eugene'}, {'id': 1088195, 'name': 'Gerard Jordan', 'character': 'Tommy'}, {'id': 1665358, 'name': 'Richard Croxford', 'character': 'Lavery'}]","[{'id': 993157, 'name': 'Tony Devlin', 'job': 'Director'}]"
762509,"[{'id': 1763709, 'name': 'Аарон Пьер', 'character': 'Mufasa (voice)'}, {'id': 1344361, 'name': 'Келвин Харрисон мл.', 'character': 'Taka (voice)'}, {'id': 1074676, 'name': 'Тиффани Бун', 'character': 'Sarabi (voice)'}, {'id': 107529, 'name': 'Kagiso Lediga', 'character': 'Young Rafiki (voice)'}, {'id': 1251835, 'name': 'Престон Найман', 'character': 'Zazu (voice)'}, {'id': 1680929, 'name': 'Блю Айви Картер', 'character': 'Kiara (voice)'}, {'id': 51878, 'name': 'Джон Кани', 'character': 'Rafiki (voice)'}, {'id': 1019, 'name': 'Мадс Миккельсен', 'character': 'Kiros (voice)'}, {'id': 19274, 'name': 'Сет Роген', 'character': 'Pumbaa (voice)'}, {'id': 973651, 'name': 'Billy Eichner', 'character': 'Timon (voice)'}]","[{'id': 92784, 'name': 'Барри Дженкинс', 'job': 'Director'}]"
